Sentence,Label
"“The statements and conduct of prosecutrix said and done shortly after the transaction may be proved as original evidence if suffering excludes the idea of fabrication, and the statements or conduct are spontaneous and instinctive, and there is no break or let-down in the continuity of the transaction.",Analysis
"We find no error in the admission of evidence to the effect that the injured party had an incapacity in his left arm, and that appellant's physical condition was good.",Analysis
Appellant objected to counsel's remark and moved for a mistrial.,Issue
"Appellant did not testify but called three witnesses whose testimony was that the appellant did not and had not lived in the house searched, but was living at another place; that appellant's father, Clyde William Sewell, his wife and son resided there, and that the clothing and tickets had the father's name C. W. Sewell on them.",Facts
How was this defendant dressed at that time?,Others
"Appellant had duly filed his application for suspended sentence, with the affidavit in support thereof duly executed.",Facts
The appeal is from a conviction for violation of an ordinance of the city of Marshall.,Facts
Appellant did not testify or offer any evidence.,Facts
"Appellant's sole contention on appeal is that the court erred in refusing to permit him to ask each prospective juror on voir dire examination of the jury panel the following question: ""At present do you engage in any form of athletics, particularly bowling?""",Issue
"The deceased was murdered during the existence of and in the furtherance of the common design of appellant and his companions to commit robbery by using a loaded rifle, and the killing was a natural and probable consequence of such common plan and design.",Analysis
"The discussion of May 11, 1977 dealt with the propriety of deleting any reference to the Government Claims Act, The transcript indicated that the language was deleted with full understanding that thereafter claims against GMH would not be paid through the Government Claims Fund but through GMH's own funds.",Facts
The State's evidence shows that the deceased operated a liquor store in the City of Houston.,Facts
"""As to whether the jury have been held for such a time as to render it ""˜altogether improbable that they can agree' is addressed to the discretion of the judge.",Rule/Law/Holding
"The state's evidence reflects that the appellant operated a bicycle shop near his home in Granbury, Texas.",Facts
"Appellant insists that the court erred in permitting Officer Geffert to relate the conversation which he had with appellant concerning the location of the narcotic paraphernalia because it was in the nature of a confession which was not in writing and did not otherwise comply with Art. 727, V.A.C.C.P.",Issue
No issue of entrapment was raised by the evidence.,Facts
Appellant next contends that the opening argument of the prosecutor presents reversible error-,Issue
The judgment is reversed and the cause is remanded.,Conclusion
"This witness also stated that his father at no time put his hands or arms around the little girl, nor did he hug or kiss her or put his hands on any part of the child's body.",Facts
The sole question presented is the sufficiency of the evidence to sustain the conviction.,Issue
"There was no allegation that the conversation related to the case on trial, and no conversation is set out which could be harmful to appellant.",Facts
"The offense is possession of wine for the purpose of sale in a dry area, two prior convictions being alleged for enhancement of punishment; the punishment assessed by the jury, six months in jail and a fine of $400.",Conclusion
That the petition is denied and Frankie Villagomez will remain in the jurisdiction of the Juvenile Court for proper proceedings therein.,Conclusion
"The mother stated that appellant was 19 years of age, born on June 15, 1941; that appellant was not of sound mind, that he got hit on the head while in high school and that he had been acting strangely ever since in that he would burst out in laughter and sit in the middle of the floor and play with toys and that his head was hurting him a lot.",Facts
"""Where did you see them?""",Others
law enforcement officials was such as to overbear petitioner's will to resist and bring about [a confession which was not] freely self-determined.,Analysis
There is no showing that such motion was ever presented to or acted upon by the trial court.,Facts
We call attention to the evidence as to the comparison of the plaster cast with appellant's shoe plus the fact that appellant gave a fictitious address when he sold the cattle.,Analysis
The offense is unlawful assembly; the fine as to each of the 18 appellants was $100.00.,Facts
The informal bill has been examined and we find no reversible error therein.,Conclusion
A pool of blood was in the yard and there was a trail of blood inside the house leading from the door to the bed.,Facts
The injured party grabbed the appellant and pulled him out of the trailer.,Facts
"Chemist Metz further testified that he ran a quantitative analysis on the needle and eyedropper which revealed that they contained .715 milligrams of morphine, a narcotic drug, and that a quantitative analysis run upon the pills and capsules revealed that some contained a derivative barbituric acid and some contained amphetamine.",Facts
"The quoted phrase is not found in the charge- The instruction to the effect that the slightest penetration was sufficient was preceded by the instruction that the force used, if any, must have been such as might reasonably be supposed sufficient to overcome resistance ""and the penetration of the sexual organ of the said Mrs. J.",Facts
The evidence shows that Fred C. Edens was city manager for Hertz Rent-A-Car agency in El Paso.,Facts
"This statute then enumerates in the four subsequent sections additional acts involving prostitution and prostitutes, and defines ""prostitution"".",Rule/Law/Holding
"There was no dispute in the evidence but that the witness Donnell was in possession of the tract of land and appellant, by his evidence, made no claim to the ""¢ contrary.",Analysis
"The promissory note in favor of Guam United Trading and Financing Company [the appellant] in the amount of $20,000 with terms to be decided upon between counsel for the parties as we get into the process of drafting that, payable in ten (10) years or at the sale of the property in question, whichever comes first.",Facts
"Evidence was offered showing the dry status of Hale County, which proof included the records of the commissioners court and stipulations by appellant.",Facts
The judgment making the judgment nisi final is reserved and the cause remanded.,Conclusion
"About 3 P.M. the same day, the deceased entered a pool hall where Robert and appellant were.",Facts
"The appeal is from the judgment of conviction resulting in probation being granted, as authorized by Art. 781d, Sec.",Rule/Law/Holding
The averment in the information that appellant rceived $7 in exchange for the check is not descriptive of the offense charged and proof of the receipt of $5 is sufficient to support the allegation.,Analysis
The record on appeal contains no statement of facts or bills of exception.,Facts
"The indictment was presented by the grand jury into the Criminal District Court on October 21, 1959 and, in accordance with law,",Facts
"By this standard the plaintiffs claim, though broad, is sufficient.",Analysis
"I believe it with my soul and heart.""",Others
"The request was granted, appellants' attorneys were so instructed, and they did comply with the court's instructions.",Facts
The evidence is sufficient to sustain the conviction and no reversible error is shown.,Conclusion
It is well settled in this state that an information which does not appear to have been presented by the prosecuting attorney is fatally defective and insufficient.,Rule/Law/Holding
"The conviction is for the unlawful possession of morphine, a narcotic drug; the punishment, enhanced by two prior convictions for felonies less than capital, life imprisonment.",Conclusion
"They then drove away from Tyler, and en route their victim freed his hands and assaulted her, whereupon she struck him several times on the head with the pistol she was carrying, causing him",Facts
"I would say two hours anyway.""",Facts
"From an examination of the court’s charge as given, appellant’s objections thereto cannot be sustained.",Analysis
"Because of the insufficiency of the evidence to corroborate the confession and admission of the appellant, the judgment is reversed and the cause is remanded.",Conclusion
He testified that later in the day he identified his four head of cattle at Houston Packing Company.,Facts
The issue as to whether the state's witness Armstrong was an accomplice was properly submitted to the jury.,Issue
What was she trying to do when you lost your temper?,Facts
"The driver of the other car testified that he smelled ""the heavy odor of beer in the car"" but that he could not conscientiously judge whether appellant was intoxicated.",Facts
"The question to which the state's objection was sustained was: ""Mrs. Williams, from what you have observed and seen your son do under these conditions, do you have an opinion as to whether or not he knows the difference between right and wrong at the time he may be seized with these spells you testified to ?""",Facts
"Officer Jim Ballew of the Identification Division of the Harris County Sheriff's Office, upon being called as a witness by the state, testified that he had taken a set of fingerprints from the appellant which he had compared with the fingerprints contained in the prison records and expressed his expert opinion that they were of the same person.",Facts
The informal bills in the statement of facts have been examined and do not reflect error.,Analysis
"Even though there were no guards or steel bars to detain the defendant, the totality of the circumstance confirms that this was custodial interrogation.",Analysis
Once again defendants base their claim that the Court lacks jurisdiction over these counts on a reading of Section 6500.10.,Analysis
"The offense is the unlawful possession of beer in a wet area for the purpose of sale without a license; the punishment, 60 days in jail and a fine of $500.",Facts
"In the absence of an irreconcilable conflict, or where two provisions of legislation are so clearly repugnant as to vital matters which they relate, courts should construe all acts harmoniously where such construction is reasonably possible.",Analysis
Another person whose name appeared on the bond as surety was discharged from liability by the court upon the trial.,Facts
"""In robbery the property must be taken by force and violence, not necessarily from the owner, but from any person in",Rule/Law/Holding
These questions are not properly before this Court,Others
Three additional cases of beer were found stacked behind the back part of the seat and a bottle of beer was found in the glove compartment.,Facts
Bill of Exception No. 1 shows that Witness Young was called by the appellant on the issue of his reputation for sobriety.,Facts
Both were present at the time of the search and there is no explanation as to Arthur's presence or why he was not charged with possessing the liquor.,Facts
"The trial court sustained objection and instructed the jury to disregard the question, but overruled appellant's motion for mistrial.",Facts
"When they arrived, appellant gave Agent Sherman a capsule and $14 in money and also gave a capsule to the informer.",Facts
"The man was drunk while he was in that office.""",Facts
"The husband appears to have had a strong suspicion about the matter, for Mary Louise had sued for divorce and testified that she was living in the house with her husband but not as man and wife on the day of the difficulty.",Facts
"Therefore, the failure to give the requested charge was not error.",Conclusion
"It was his testimony that thereafter she did not resist but suggested that they get on the bed, and ""seemed to be pretty willing"" to the intercourse.",Facts
"I see no possible chance of this jury reaching a verdict.""",Others
"At this time the appellant, while waving a pistol, told his brother Robert to move back.",Facts
"Appellant, testifying in his own behalf, stated that while on his way from home to work he drove through the park and stopped at the latrine to relieve himself; that the man, who he had never seen before but whom he later learned to be Pelton, came in and made the proposal that he have intercourse with him in the rectum; that he declined, saying that his penis was not hard; that a short while thereafter Pelton inquired of it was hard yet and dropped his pants, at which time the officers arrived.",Facts
"It is also urged that the testimony given by his witnesses which was contradicted by Kitching was brought out by the state on cross-examination, and that the state cannot impeach what they developed themselves.",Analysis
"While the court defined the offense under that portion of Art. 524, V.A.C.C.P., which provides that ""Whoever has carnal copulation * * * in an opening of the body, except sexual parts, with another human being, * * * shall be guilty of sodomy * * the court did make a direct and pertinent application of the law to the case as alleged in the indictment and made by the facts.",Analysis
"Four boys were around the 1955 Ford, two of whom, Thomas Abner Langford and Roy Lewis Burt, were killed.",Facts
"Without resort to what transpired following the taking of the money, we have concluded that the evidence is sufficient to show that appellant at the moment he entered the convertible in Harris County had the intent to forcibly take away the person of prosecutrix for the purpose of taking her money, as charged in the indictment.",Analysis
"After the three read the letter, the police were called.",Facts
"264, 347 S.W. 2d 719, relied upon by appellant, does not support his contention.",Analysis
"Highway patrolman Vinyard testified, without objection, that in making an investigation he was able to judge the speed of the two vehicles at the time of the accident, his opinion being that appellant’s car was traveling at about sixty miles per hour but that he doubted that the car in which the deceased was riding was moving at any appreciable speed.",Facts
"There was but one issue in this case, consent or not by the prosecutrix, and any circumstance that could be shown tending to show that the prosecutrix was not a virgin would be admissible as bearing on the issue of her consent in a manner consistent with the appellants' innocence.",Analysis
The motion was overruled and exception was reserved.,Facts
"She stated that in a conversation with appellant on Monday morning appellant invited her out to dinner and she refused; that when he called back later she suggested that he come to her house; that appellant came around 1:45 p.m.; that when he arrived she told appellant she was about out of ""her mind"" over the disappearance of her daughter and appellant handed her two capsules, told her to take them, and she then took one of the capsules and kept the other.",Facts
"Chemist and toxocolo'gist McDonald testified that he was called into the investigation of this case and examined appellant's clothes and person, that he found in the fly of his undershorts a pubic hair which was identical in all respects with a pubic hair which had been taken from the vaginal area of prosecutrix and was different from appellant's pubic hair.",Facts
"The court was the exclusive judge of the facts proven, the credibility of the witnesses, and the weight to be given their testimony.",Rule/Law/Holding
"Appellant’s counsel, who the evidence shows was the roomate of the appellant’s in their school days, had argued: “Make no mistake about the fact that you have ruined his life if you find him guilty because he has to go to jail.",Facts
"This Court has held on many occasions that where counsel makes remarks that were improper, and the court immediately instructs the jury to disregard such remarks, the error is usually cured and reversal seldom results.",Rule/Law/Holding
"He soon thereafter left the hospital, and about midnight had his hand sewed up at St. Paul's Hospital.",Facts
"This being a misdemeanor case where the jurors could separate, the allegation was not an allegation of jury misconduct upon which the trial judge was required to hear evidence.",Analysis
Ballistics tests made showed that slugs taken from the body of the deceased had been fired by the pistol recovered from the appellant's pickup.,Facts
Relator alleges that the judgment of conviction is void because the evidence adduced by the state at the trial was insufficient to show his guilt.,Issue
Appellant did not testify but called his brother Robert and several other witnesses.,Facts
"The record reflects that, on cross-examination of the witness, appellant first inquired of him as to the details of a conversation which he had with appellant at the scene of the collision.",Facts
There the complaint was that the state was allowed to introduce evidence showing that the defendant remained silent as to certain matters at the time he made a confession.,Facts
"Gee stated that later around March 1, he again talked to appellant about selling his mohair at the same price and that appellant made a second telephone call but no deal was consummated.",Facts
"The witness further testified that Jackson then went out the front door of the cafe onto the porch, following which appellant got off the stool, opened his knife, pulled the screen door open, and cut Jackson on the face.",Facts
"Appellant, who was the godfather of the complaining witness' sister, went to the witness' home after midnight on the occasion in question and asked to see a girl who was staying there.",Facts
The officers described appellant’s appearance and conduct and expressed the opinion that he was definitely intoxicated.,Facts
"Appellant's first three claims of error are the same as were urged and decided adversely to the accused in Cause No. 34,804, styled George E. Hancock, Appellant v.",Facts
Officer Wright's testimony substantially corroborates that of Officer Seale.,Analysis
"The offense is aggravated assault, with punishment assessed at thirty days in jail.",Facts
Glenda told appellant she would go to Oklahoma with him and agreed to meet him at the drugstore that night at 1:00 a.m.,Facts
The blood sample was sent to Austin by a physician who found it in the refrigerator and mailed it to Austin for analysis.,Facts
"There were others present with other vehicles who, had it been necessary or proper for the boys to have been carried to a physician or surgeon or to a hospital, could and no doubt would have performed this service.",Facts
Appellant strenuously challenges the sufficiency of the evidence to support the conviction.,Issue
The owner of a wholesale plumbing company testified that the grease traps had a market value of more than $50.,Facts
"There is no error in admitting such evidence because escape, flight and attempts to escape are always admissible as evidence of guilt.",Analysis
The motion for rehearing is overruled.,Conclusion
"The statutes relating to the waiver of a jury in a non-capital felony case provide that it shall be necessary for the state to introduce evidence into the record showing the guilt of the defendant, and that in no event shall a person charged be convicted upon his plea of guilty without sufficient evidence to support the same.",Analysis
"The evidence is conflicting as to what was said and what appellant heard over the telephone, except that Mrs. Fryer said ""Frank, don't kill me.""",Facts
James Lyles and myself climbed out of the drugstore through the hole we had drilled in the roof.,Facts
A statement of facts of the evidence adduced upon the appellant's trial has been filed in this court and will now be considered.,Others
Prosecutrix finally gained her freedom several days later by means of swimming the Brazos River while her captors were asleep.,Facts
The objection to the court's charge and the refusal of a requested charge show no error.,Analysis
We have examined each with care but have concluded that none reflects reversible error and that a discussion thereof would not add to the jurisprudence of this State.,Conclusion
It certifies that the court refused to permit the defendant to change one of his peremptory challenges and strike the name of Mrs. Hardinger instead of another juror he had struck by mistake.,Facts
"However, if the criminal design originates in the mind of the officer and he induces a person to commit a crime which he would not otherwise have committed except for such inducement, such is entrapment and, in law, may constitute a defense.",Rule/Law/Holding
"The indictment alleges both of these prior convictions to have been for the offense of ""Breaking and entering a motor vehicle.""",Facts
"If the appellant converted the car, he was guilty of theft by bailee, as charged.",Analysis
It is insisted that this conviction cannot stand because it rests on a bailment made when the appellant was under 21 years of age.,Issue
"Appellant was tried in the County Court of Cochran County, before a special judge and a jury, upon complaint and information alleging that he committed an aggravated assault upon Raymond Kuykendall, a special deputy sheriff who was in the discharge of his official duties.",Facts
His companion during those hours corroborated him.,Facts
"We feel that the learned trial judge fell into error in admitting the various prior judgments of convictions without evidence to establish that appellant and his witness were the defendants therein and without first requiring the state to establish the subsection of the vagrancy statute under which they were had, in order to properly establish these offenses as ones properly coming within, the terms of the classification of offenses involving moral turpitude.",Analysis
"The question is whether the claim is too broad, rather than too narrow as in Kauss.",Issue
The fact that appellant was under arrest when he gave the consent did not vitiate the same.,Analysis
The only content of the report which could be said to contradict appellant and sustain Dr. Gibbons and the record he made and testified from is that relating to the antiseptic used to cleanse the arm.,Analysis
He called several witnesses to show that when he was arrested later that night no narcotics or money was found on his person.,Facts
The court also submitted to the jury the appellant’s defense of alibi and submitted to the jury the issue as to the voluntary nature of appellant’s written confession.,Facts
"Officer Melvin testified that appellant told him that he purchased the 22 sacks of potatoes from a Mexican that he did not know at a market near Airline Drive, and that he got no receipt.",Facts
"The trial court was careful to exclude testimony as to any statement or declaration of the appellant, but it is contended that the witness was permitted to testify as to acts of the appellant which were in the nature of a confession and might have been used by the state as a criminative fact against him.",Facts
The fact that appellant was under arrest when he made an oral statement at the scene of the accident would not alone render such statement inadmissible.,Analysis
"The appellant's confession, coupled with evidence showing the commission of the crime, is sufficient.",Analysis
Chapa did not have sufficient funds on hand at the time to pay appellant the full difference between the amount of the grocery bill and the face of the check but did pay him $20.00 and told him to come back later for his change.,Facts
W. R. Hatcher identified it as his car which he saw someone drive away from his place about 4 A.M. the same morning.,Facts
Appellant did not testify but called his brother as a witness who testified that appellant had been under the treatment of a psychiatrist.,Facts
With such contention we do not agree.,Conclusion
"After the credit card invoice was signed, appellant and his companions left the station with the tires and tube.",Facts
"The evidence relating to appellant's oral statement made while under arrest could have been used by the jury to his injury, and the admission thereof was in violation of the statute; was prejudicial and calls for reversal.",Analysis
Barnett was less specific in his testimony but did say that he observed appellant having intercourse from the rear with Pelton.,Facts
"All proceedings appear to be regular, and nothing is presented for review.",Conclusion
The sole ground advanced for setting aside the court's order revoking probation is that the conviction for aggravated assault has not become final.,Issue
She also identified the check by her mark of identification.,Facts
"At the beginning of the trial, the State, by written motion, requested the trial judge to instruct the attorneys for each of the appellants ""not to inquire of the prosecutrix herein as to whether or not she is a virgin, on cross-examination, or otherwise, in the presence of the jury panel on voir dire or in the presence of the jury selected to serve in said cause"".",Facts
"""You are further instructed that if you believe, or have a reasonable doubt, that such deceased Clyde Watson was on the occasion in question armed with a gun, and was attempting to murder or inflict serious bodily injury upon the defendant, it will be presumed that the deceased designed to inflict such injury upon the defendant.""",Facts
The complaining witness was thirteen years old at the time of the trial but only twelve years of age at the time of the commission of the offense.,Facts
"He further denied having ever worn a hat, particularly the ""Jelly-Bean"" type, and related that he had only gone to Mendenhall's apartment, where he was arrested, to pick up two suitcases which Mendenhall had borrowed from him.",Facts
"The witness repeated that the Selby case was mentioned only in that one instance in a two or three-mimite discussion as to how much time a person would have to serve if he got ""life.""",Facts
E. Bailey (shown to be no relation to appellant) testified that he was riding with Police Chief Pat Heddin on the night in question and that when they drove out the Alba Road they “found a car turned over in the ditch and a man lying about eight or ten feet from it.”,Facts
"The state answered, controverting appellant's motion, and in support of its answer attached thereto affidavits from all seven of the jurors who testified in the hearing upon such motion.",Facts
The power of this court and the judges thereof in mandamus proceedings is confined to the issuance of such writs where deemed necessary to enforce the jurisdiction of this court.,Rule/Law/Holding
"Appellant was convicted of the offense of theft from the person, upon his plea of guilty to.",Facts
"He asked Regina and she reached over and got it out of the back and handed it to him.""",Facts
"""MR. BROWN: Yes, we object to any statement made by the defendant after he was placed under arrest.",Others
"These facts, we have concluded, justified the complained-of argument.",Conclusion
"The prosecutrix was told to go upstairs, which she did.",Facts
The three then left the place and drove to Hall's Drive In in appellant's automobile.,Facts
No motion to quash the indictment or plea to the court's jurisdiction was filed by appellant in the trial court.,Facts
"When you are deliberating this case, have little mercy for the Defendant but save a little mercy for the people that have â– to travel the highways, it is these people of the State of Texas that I am representing.",Others
"After listening to their story, which was described to him as an emergency, McBirnie went to the warehouse and secured two 1000x22 Richmond truck tires of the market value of $105.11 each, and one Mohawk tube of the value of $7.91 and proceeded to sell and deliver them to appellant and his companions.",Facts
We find no error in the admission of the photographs and we find no error in the record which calls for reversal.,Conclusion
"""Do you look to Mr. Cain and Mr. Tucker to protect you or will you look to these officers?""",Facts
"As to the mention of the prominent person, this is not such new evidence that can be construed as detrimental to appellant.",Analysis
"* * * Get in the back room there, you and your wife both, get in there before I kill you,"" the Jobes lay down on the floor in the vault as ordered.",Facts
"He testified that he, was not armed and made no effort to injure appellant.",Facts
Rather it has the potential to intrude upon the very first of the Amendments of the Constitution.,Analysis
"We are unable to agree with appellant that the state, by failing to object to his testimony given on the hearing of the motion for new trial denying execution of the bond, waived the requirements of a plea of non est factum in the cause.",Analysis
"On that same date an order was signed by the Honorable Paul J. Abbate, in which he disqualified the Attorney General's Office, due to an alleged conflict of interest, and in which the Presiding Judge then appointed a Special Prosecutor of his own choice.",Facts
The jury chose to accept the testimony of the State's witnesses and to reject that of appellant and we find the evidence sufficient to sustain their verdict.,Analysis
Show us where he went.,Others
"Art. 534, V.A.P.C., makes it unlawful for a person by any act to contribute to the delinquency of a minor child under the age of seventeen years.",Rule/Law/Holding
"Among the property missing was a .38 caliber pistol described as a ""thumbuster"" which was introduced in evidence at the trial as State's Exhibit 1.",Facts
Appellant worked for him in his construction business.,Facts
"The court in his qualification of the bill, to which appellant made no exception, refused to certify that such statement was made but did certify that state's counsel in his opening argument stated: "" ""˜In this kind of case, there is no defense except,' "" at which time a defense objection was overruled and counsel continued in the following manner:",Facts
A peace officer testified that he investigated the loss of the grease traps and found them at the Iron Works Company and they were properly identified by the owner.,Facts
"There is no statement of facts on a hearing, and we cannot accept the allegations in the motion as proof of such fact.",Analysis
"Beyond creating a chilling effect on filing a claim with the government because a plaintiff would lose all should he be mistaken in his theory, this reading also creates troublesome due process problems as such an irrevocable election would have to e made before the plaintiff has the opportunity for any sort of discovery.",Analysis
"When the defendants could not agree on the order of trial, the court, after examining and considering the motions, ordered the case of appellant to be tried first.",Facts
"Then, at appellant's request, the court instructed the jury to disregard the answer because it was not responsive to the question.",Facts
The complainant then testified that she left.,Facts
"While the appellant's counsel might not have made a specific objection to the testimony, the general rule being that an objection should be specific, naming a particular rule of evidence which will be violated by the admission of the evidence, the purpose of such a requirement is two-fold: (1) It enables the judge to understand the precise question and to make an intelligent ruling, and (2) It affords the offering party an opportunity to remedy the defect if possible.",Analysis
"Assuming that Lewter Feed Lots, to which the credit card was issued, may have been obligated to pay the credit invoice, this would not alter the fact that appellant and his companions obtained the same by false pretext.",Analysis
The record contains no statement of facts.,Facts
In refusing to give such charges the court did not err.,Conclusion
Cecil Ray testified that Mrs. Stockard and appellant appeared,Facts
"We are unable to agree with appellant that the provision in the statute that the judges shall ""successively appoint"" the grand jury commissioners and empanel grand juries means appointment of the grand jury commissioners and empanelment of the grand juries by the district judges in consecutive numerical order - of the courts over which they preside.",Conclusion
The state's evidence consists of the testimony of Vice Squad Officer D.,Facts
The motion for summary judgment is DENIED.,Conclusion
"Under the record, we are unable to say that appellant was injured by the court's failure to limit the jury's consideration of the impeachment testimony and overrule the contention that such omission in the charge constituted fundamental error requiring a reversal of the conviction.",Analysis
"Lucas, the last witness, testified that he was for life sentence on his first ballot; that the jury took about eighteen or twenty more ballots; that at one point he came down to ten years.",Facts
"After carefully reviewing the evidence, we find that appellant failed to introduce evidence upon which the jury could base",Analysis
"It is insisted that it was within the discretion of the court to refuse counsel’s request, and that no abuse of discretion is shown.",Analysis
"Finding the door facing the street where he had seen the man walking had been pried open, the officer pursued and overtook the automobile, notifying the police dispatcher.",Facts
We are cited to no authority holding that the defendant's sworn application for suspended sentence constitutes proof requiring the submission of the issue to the jury.,Analysis
"When recalled by the appellant, the physician testified that his examination of the vagina did not reveal any tear, and that he would expect some type of tear if penetrated by a normal size male; that he found no seminal discharge in the vagina, but that he made no chemical or microscopic test to determine such finding.",Facts
"The conviction is for robbery with firearms; the punishment, fifty years.",Facts
"The way to town, first we talked of two main subjects.",Others
The Court ruled to reserve decision on the motion to quash.,Conclusion
I have never met you but I am one of your neighbors.,Facts
4 and 5 of Harris County was not in effect at that time.,Facts
"The testimony upon the hearing of motion for new trial shows that appellant's attorney requested the words ""did then and there unlawfully, wilfully, and designedly"" be inserted in the court's charge and that upon his request these words were added to the charge given by the court prior to the court reading the charge to the jury.",Facts
"She testified that at the time the officers entered the apartment the appellant was asleep, and it was she who reached for the vial on the headboard of the bed; that the vial did not belong to the appellant, and he did not know it was there.",Facts
The chain of custody of the capsule and the fact that it contained heroin were adequately established.,Facts
"The prosecutrix got in the car and was driven to a vacant apartment on Applegrove, where Nick supposedly was.",Facts
"Appellant pleaded guilty to the unlawful possession of marihuana and, a jury being waived, the court assessed his punishment at 5 years in the penitentiary.",Facts
Is that how she appeared there that day?,Others
"The discrepancy mentioned, together with the fact that one of the officers testified that he assisted appellant in walking whereas the other testified that he held appellant's arm and did not even let him walk by himself, is pointed out in appellant's brief.",Facts
Nor do we find any error in the court's action in permitting the state to inquire of appellant on cross-examination with reference to trouble which the officers testified they had had with him on a prior occasion when he had fought and knocked one of them down.,Analysis
The jury by their verdict rejected the testimony of appellant and we find the evidence sufficient to sustain their verdict.,Analysis
There is also a statement of facts containing a transcript of the testimony on hearing the motion for new trial.,Facts
"Appellant strenuously objects to the admission of testimony given by Deputy Sheriff Kitching that appellant was in a Dallas jail from April 28 to May 4, 1961, on the ground that this testimony was improper impeachment of his witnesses on an immaterial matter.",Facts
Appellant presents three formal bills of exception in a supplemental transcript.,Facts
"The claimant is not required to list his theories of recovery, but rather the facts which lead to liability.",Rule/Law/Holding
"By motion in writing filed August 5, 1960, the appellant challenged the jurisdiction of County Criminal Court No. 3 to try this cause on the ground that the order of transfer shows that it was transferred to the County Criminal Court of Dallas County.",Facts
"Deputy Sheriff Roy C. Willim, Identification Officer of the Sheriff's Department of El Paso County whose qualifications as a fingerprint expert were shown, testified that he had made a comparison of certain fingerprints which he had taken of the appellant with the fingerprints contained in the prison records, and, that in his opinion both prints were of one and the same person.",Facts
"The officer stated that he got out of his patrol car and walked up beside appellant's car and asked him to step out; that appellant ""opened the door, and started to get out, and he almost fell down""; that appellant just stumbled out, more or less, when he got out and ""was holding on to the door of the car"".",Facts
Appellant's statement that the room was his was admissible as res gestae because it was made during and coincident with the search of the house.,Analysis
She wasn't bruised like that.,Facts
"In the statement, appellant said that he ""whipped out"" his .32 revolver and told the man that all they wanted was the money which he and Blaylock then took from Box's billfold and the cash register.",Facts
"Upon a trial before the court without a jury, appellant was convicted of the offense of unlawfully contributing to the delinquency of a minor and his punishment assessed at a fine of $300.",Facts
"The record contains four purported formal bills of exception which were filed on August 18, 1961, some 92 days after notice of appeal was given on May 18, 1961.",Facts
"The testimony of three peace officers shows that while accompanied by two other officers they went to the house where the appellant lived to execute a search warrant, but before entering the house they stopped a short distance away.",Facts
"The fact that he may have also had the intent, as the evidence clearly indicates, of forcing her to become a prostitute so that he might profit therefrom would in nowise preclude a prosecution for the first offense shown.",Analysis
"State, 256 S.W. 2d 97, it was held that where prior convictions were alleged and proven to enhance the punishment in a case which resulted in an acquittal, it did not constitute a successful use of the prior convictions so as to prevent their being used in a subsequent case for the same purpose, and that the doctrine of double jeopardy did not apply.",Rule/Law/Holding
Art. 3 of Section 35 of the Texas Constitution does not prohibit the enactment of a bill making the first offense a misdemeanor and subsequent convictions a felony.,Rule/Law/Holding
"He moved successfully in the Superior Court to suppress certain statements made to his supervisor, on the theory that the statements resulted from a custodial interrogation where full Miranda warnings were not given.",Facts
There was considerable testimony as to trails across appellant's premises as well as adjoining land.,Facts
"""So naturally, the Jury was led to believe that he had been a previous offender.",Analysis
"I asked him if he had had anything to drink, an alcoholic beverage, and he said, ""˜Yes,' he had had quite a few beers.",Facts
"Where no judgment of conviction was found in the record, the Court of Criminal Appeals had no jurisdiction of the appeal.",Rule/Law/Holding
"The offense is the unlawful sale of beer in a dry area; the punishment, one year in jail and a fine of $1,000.00.",Facts
"We took a portable radio, cigrette lighters and a watch, necklaces and other costume jewelry.",Facts
"The offense is defrauding with a worthless check in the sum of $47.51; the punishment, six months in jail and a fine of $250.",Facts
"Accident Investigator Middleton, who went to the scene, testified without objection that in his opinion the appellant's automobile was traveling south on Westmoreland and the Chevrolet automobile was traveling west on Ledbetter.",Facts
Appellant told Officer Senkel that his wife had fallen off the bed and hit her head.,Facts
"S. LaMothe, called by appellant, testified that the deceased and the appellant were wrestling over a gun when he first saw them, and the deceased was trying to hold the arm of the hand in which appellant had the gun; that they were about eighteen inches apart at the time of the first shot and on the second shot the deceased turned loose and ran; and he did not see the deceased with any weapon.",Facts
"In the absence of the jury on the issue of probable cause, the court heard testimony from the officers concerning reports they had received about the Gandy truck having been abandoned in the residential section of Big Spring many miles away from its usual route; about the fact that Gandy did not employ colored drivers, but that two colored men were seen walking away from the truck as it was parked; about two colored men soon there",Facts
The judgment is reversed and the cause remanded.,Conclusion
"The executive warrant issued by the Governor of Texas, directing the arrest of Marcilino N. Brito and his delivery to the agent of the State of Nebraska for return to that state, was introduced in evidence.",Facts
James Lyles and myself got into the 1950 Studebaker automobile and went toward Houston on State Highway 73 and spent the night at a motel near Greens Bayou or Channelview.,Facts
No statement of facts adduced on the trial accompanies the record.,Facts
"It is appellant's contention that he was not identified by Officer Campbell, to whom the confession was made, as the person who made it.",Issue
The statement of facts appearing in the record has been approved by counsel for appellant only.,Facts
The state here discharged its duty in showing the dry status of Smith County.,Facts
"The contention is that the clothing was not the subject of a lawful search and seizure, it being purely evidentiary.",Issue
Two relate to jury argument.,Facts
No error appears in the admission of the written statement in evidence.,Conclusion
"It is defendant's position that the Court lacks jurisdiction as Government Code Â§6500.10 prohibits actions against an individual defendant once a claim has been filed pursuant to the Government Claims Act, as was done in this case.",Analysis
